Number of Prompts,BERT Score
9,0.49683231200712424
8,0.2794810561463237
9,0.46383417304605246
8,0.4943071740369002
8,0.49158709271190065
9,0.4936525758821517
10,0.4786921044966827
13,0.40858301675568026
8,0.48527536320034415
8,0.4959101969531427
8,0.4970748240593821
8,0.4976280803481738
9,0.48331317243476707
9,0.49830728315282613
12,0.4852411726024002
10,0.471517907610784
7,0.49271761253476143
9,0.48725942087670165
9,0.4985094916385909
8,0.4959131933283061
8,0.49013252719305456
9,0.4793038406254103
14,0.4911064060870558
8,0.4732862176994483
7,0.45249622128903866
8,0.4872931055724621
9,0.47541174416740734
10,0.4842627422573666
9,0.4792899295377235
11,0.42063054310468334
12,0.3155944670240084
8,0.4836595272645354
9,0.4914945050453146
9,0.49967110498497885
9,0.4976132520629714
9,0.4929348601338764
9,0.4911597170867026
13,0.3549071126617491
8,0.5048221622904141
8,0.47566225131352746
9,0.4967634133839359
8,0.48452603444457054
8,0.49841278162784874
9,0.497886777545015
10,0.337432893148313
12,0.4078209325671196
8,0.49418708495795727
8,0.49302339864273864
8,0.4853764084012558
8,0.4842580854116629
8,0.2805403379412989
9,0.3721259186665217
12,0.4908814442654451
12,0.39754049262652796
9,0.38554782917102176
9,0.48843803349882364
9,0.49480296360949677
9,0.26827051024883986
11,0.49089979069928324
12,0.44419211242347956
11,0.48014854888121283
9,0.4442009925842285
9,0.4872030684103568
9,0.5050384625792503
10,0.4301471548775832
10,0.5494244545698166
12,0.2845641554643711
11,0.24194063308338326
8,0.3545296173542738
9,0.47738789510913193
9,0.5232188291847706
8,0.5021279500797391
9,0.4314727522432804
11,0.4873569116462022
13,0.5104193588097891
9,0.49571973248384893
8,0.4301387158532938
9,0.4977885286013285
9,0.43396537130077684
9,0.5008785004417101
11,0.4593266450489561
14,0.47853418393060565
8,0.4804704658066233
8,0.4944392290587227
8,0.4886518406371276
8,0.49630518568058807
8,0.4788472459961971
8,0.47958030458539724
11,0.18973964006484798
13,0.5242486707866192
8,0.5311317009230455
9,0.18015699965568882
8,0.49505103131135303
8,0.49458200282727677
9,0.3821515462671717
10,0.41205158829689026
13,0.22660944843664765
9,0.49085064519507193
8,0.49081462218115723
9,0.4794176071882248
9,0.4981150430782388
9,0.48965146105426055
9,0.4964764873341968
10,0.48923937208019197
12,0.42860788696755964
10,0.4273955272510648
9,0.3920367546379566
9,0.506666844089826
8,0.3279909336318572
10,0.4625181417601804
11,0.17360680860777697
12,0.4670123426864544
9,0.4574453433354696
8,0.27770940369615954
9,0.4692637672026952
9,0.4321826292822758
9,0.43177960688869155
11,0.3794301338493824
13,0.3283088331421216
